,year,month,day,dotw,start_hour,start_minute,end_hour,end_minute,event,value,units,caregiver,age
48,2019,9,27,Friday,11,17,NA,NA,bowel,NA,,ij,18004
49,2019,9,27,Friday,13,50,NA,NA,bowel,NA,,kc,18004
50,2019,9,27,Friday,13,45,NA,NA,caregiver_change,NA,,ij_kc,18004
51,2019,9,27,Friday,8,20,NA,NA,bottle,2,oz,vona,18004
52,2019,9,27,Friday,11,15,NA,NA,bottle,2,oz,ij,18004
53,2019,9,27,Friday,10,20,NA,NA,nap,NA,,ij,18004
54,2019,10,10,Thursday,7,55,NA,NA,wet,NA,,ap,18004
55,2019,10,10,Thursday,9,45,NA,NA,wet,NA,,ap,18004
56,2019,10,10,Thursday,12,10,NA,NA,wet,NA,,ap,18004
57,2019,10,10,Thursday,8,25,NA,NA,bottle,2,oz,ap,18004
58,2019,10,10,Thursday,11,20,NA,NA,bottle,1,oz,ap,18004
59,2019,10,10,Thursday,13,10,NA,NA,bottle,3,oz,ap,18004
