,year,month,day,dotw,start_hour,start_minute,end_hour,end_minute,event,value,units,caregiver,age
1110,2020,3,2,,11,30,12,30,nap,NA,,kc,18004
1111,2020,8,24,,9,45,NA,NA,wet,NA,,ap,18004
1112,2020,8,24,,11,54,NA,NA,wet,NA,,ap,18004
1113,2020,8,24,,13,35,NA,NA,wet,NA,,ap,18004
1114,2020,8,24,,13,57,NA,NA,bowel,NA,,ap,18004
1115,2020,8,24,,15,10,NA,NA,wet,NA,,ap,18004
1116,2020,8,24,,8,15,NA,NA,bottle,0,oz,ap,18004
1117,2020,8,24,,10,35,NA,NA,water,1,oz,ap,18004
1118,2020,8,24,,10,45,11,49,nap,NA,,ap,18004
1119,2020,10,8,,8,15,NA,NA,wet,NA,,ap,18004
1120,2020,10,8,,10,30,NA,NA,wet,NA,,am,18004
1121,2020,10,8,,13,30,NA,NA,wet,NA,,am,18004
1122,2020,10,8,,14,25,NA,NA,bowel,NA,,am,18004
1123,2020,10,8,,11,30,13,30,nap,NA,,am,18004
1124,2020,10,7,,7,45,NA,NA,bowel,NA,,am,18004
1125,2020,10,7,,10,20,NA,NA,wet,NA,,ap,18004
1126,2020,10,7,,13,25,NA,NA,wet,NA,,ap,18004
1127,2020,10,7,,14,45,NA,NA,wet,NA,,am,18004
1128,2020,10,7,,11,15,13,20,nap,NA,,ap,18004
1129,2020,10,6,,8,15,NA,NA,wet,NA,,am,18004
1130,2020,10,6,,10,5,NA,NA,wet,NA,,melody,18004
1131,2020,10,6,,13,10,NA,NA,wet,NA,,melody,18004
1132,2020,10,6,,11,30,13,0,nap,NA,,melody,18004
1133,2020,9,1,,8,10,NA,NA,dry,NA,,ap,18004
1134,2020,9,1,,10,30,NA,NA,bowel,NA,,am,18004
1135,2020,9,1,,13,40,NA,NA,dry,NA,,am,18004
1136,2020,9,1,,15,30,NA,NA,bowel,NA,,am,18004
1137,2020,9,1,,11,45,13,40,nap,NA,,am,18004
1138,2020,9,2,,8,30,NA,NA,bowel,NA,,aym,18004
1139,2020,9,2,,10,30,NA,NA,wet,NA,,kc,18004
1140,2020,9,2,,13,30,NA,NA,wet,NA,,am,18004
1141,2020,9,2,,14,40,NA,NA,bowel,NA,,kc,18004
1142,2020,9,2,,11,30,12,15,nap,NA,,kc,18004
1143,2020,10,5,,8,0,NA,NA,wet,NA,,ap,18004
1144,2020,10,5,,10,30,NA,NA,wet,NA,,kc,18004
1145,2020,10,5,,13,35,NA,NA,wet,NA,,kc,18004
1146,2020,10,5,,11,30,13,30,nap,NA,,kc,18004
1147,2020,3,10,,8,40,NA,NA,wet,NA,,ap,18004
1148,2020,3,10,,10,45,NA,NA,wet,NA,,kc,18004
1149,2020,3,10,,12,35,NA,NA,dry,NA,,kc,18004
1150,2020,3,10,,14,10,NA,NA,wet,NA,,kc,18004
1151,2020,3,10,,9,0,NA,NA,bottle,1,oz,kc,18004
1152,2020,3,10,,11,0,NA,NA,bottle,2,oz,kc,18004
1153,2020,3,10,,12,37,NA,NA,water,NA,,kc,18004
1154,2020,3,10,,14,0,NA,NA,water,NA,,kc,18004
1155,2020,3,10,,11,45,12,30,nap,NA,,kc,18004
1156,2020,2,13,,8,45,NA,NA,wet,NA,,ap,18004
1157,2020,2,13,,9,15,NA,NA,bowel,NA,,ap,18004
1158,2020,2,13,,10,40,NA,NA,wet,NA,,ij,18004
1159,2020,2,13,,13,45,NA,NA,wet,NA,,ij,18004
1160,2020,2,13,,11,20,13,0,nap,NA,,ij,18004
1161,2020,2,5,,7,45,NA,NA,dry,NA,,ap,18004
1162,2020,2,5,,8,55,NA,NA,wet,NA,,melody,18004
1163,2020,2,5,,10,15,NA,NA,bowel,NA,,kc,18004
1164,2020,2,5,,13,5,NA,NA,dry,NA,,melody,18004
1165,2020,2,5,,9,30,NA,NA,bottle,3,oz,melody,18004
1166,2020,2,5,,11,0,NA,NA,water,NA,,melody,18004
1167,2020,2,5,,14,0,NA,NA,bottle,3,oz,melody,18004
1168,2020,2,5,,11,10,12,55,nap,NA,,melody,18004
1169,2020,2,19,,8,25,NA,NA,wet,NA,,ap,18004
1170,2020,2,19,,10,15,NA,NA,wet,NA,,kc,18004
1171,2020,2,19,,12,50,NA,NA,wet,NA,,ap,18004
1172,2020,2,19,,13,15,NA,NA,bowel,NA,,ap,18004
1173,2020,2,19,,9,15,NA,NA,bottle,2,oz,ap,18004
1174,2020,2,19,,12,55,NA,NA,bottle,1,oz,ap,18004
1175,2020,2,19,,11,10,12,15,nap,NA,,ap,18004
1176,2020,2,14,,8,15,NA,NA,wet,NA,,ap,18004
1177,2020,2,14,,10,5,NA,NA,wet,NA,,ap,18004
1178,2020,2,14,,11,10,NA,NA,bowel,NA,,ap,18004
1179,2020,2,14,,12,57,NA,NA,wet,NA,,ap,18004
1180,2020,2,14,,14,15,NA,NA,wet,NA,,ap,18004
1181,2020,2,14,,9,45,NA,NA,bottle,2,oz,ap,18004
1182,2020,2,14,,12,45,NA,NA,bottle,2,oz,ap,18004
1183,2020,2,14,,11,15,12,30,nap,NA,,ap,18004
1184,2020,2,18,,8,5,NA,NA,wet,NA,,ap,18004
1185,2020,2,18,,10,30,NA,NA,bowel,NA,,kc,18004
1186,2020,2,18,,13,50,NA,NA,wet,NA,,kc,18004
1187,2020,2,18,,9,0,NA,NA,bottle,3,oz,kc,18004
1188,2020,2,18,,11,0,NA,NA,bottle,3,oz,kc,18004
1189,2020,2,18,,14,0,NA,NA,water,NA,,kc,18004
1190,2020,2,18,,11,20,13,20,nap,NA,,kc,18004
1191,2020,2,11,,8,10,NA,NA,wet,NA,,ap,18004
1192,2020,2,11,,10,15,NA,NA,wet,NA,,ap,18004
1193,2020,2,11,,12,5,NA,NA,bowel,NA,,ap,18004
1194,2020,2,11,,14,0,NA,NA,wet,NA,,ap,18004
1195,2020,2,11,,9,15,NA,NA,bottle,2,,ap,18004
1196,2020,2,11,,12,42,NA,NA,bottle,2,,ap,18004
1197,2020,2,11,,13,40,NA,NA,bottle,1,,ap,18004
1198,2020,2,11,,11,5,11,59,nap,NA,,ap,18004
1199,2020,2,4,,7,30,NA,NA,wet,NA,,kc,18004
1200,2020,2,4,,9,20,NA,NA,wet,NA,,ap,18004
1201,2020,2,4,,11,45,NA,NA,wet,NA,,ap,18004
1202,2020,2,4,,14,40,NA,NA,wet,NA,,ap,18004
1203,2020,2,4,,9,0,NA,NA,bottle,3,oz,ap,18004
1204,2020,2,4,,11,0,NA,NA,bottle,3,oz,ap,18004
1205,2020,2,4,,13,35,NA,NA,bottle,3,oz,ap,18004
1206,2020,2,4,,13,50,14,35,nap,NA,,ap,18004
1207,2020,9,28,,7,45,NA,NA,bowel,NA,,kc,18004
1208,2020,9,28,,10,30,NA,NA,wet,NA,,am,18004
1209,2020,9,28,,13,30,NA,NA,wet,NA,,am,18004
1210,2020,9,29,,8,0,NA,NA,wet,NA,,am,18004
1211,2020,9,29,,9,45,NA,NA,bowel,NA,,am,18004
1212,2020,9,29,,10,30,NA,NA,dry,NA,,am,18004
1213,2020,9,29,,13,38,NA,NA,wet,NA,,am,18004
1214,2020,9,29,,11,0,13,30,nap,NA,,am,18004
1215,2020,9,30,,8,0,NA,NA,bowel,NA,,ap,18004
1216,2020,9,30,,10,30,NA,NA,wet,NA,,am,18004
1217,2020,9,30,,13,45,NA,NA,wet,NA,,am,18004
1218,2020,9,30,,14,30,NA,NA,bowel,NA,,am,18004
1219,2020,9,30,,11,30,13,40,nap,NA,,am,18004
1220,2020,10,1,,8,0,NA,NA,bowel,NA,,am,18004
1221,2020,10,1,,10,30,NA,NA,wet,NA,,am,18004
1222,2020,10,1,,13,30,NA,NA,wet,NA,,kc,18004
1223,2020,10,1,,11,30,13,30,nap,NA,,am,18004
1224,2020,10,2,,8,15,NA,NA,bowel,NA,,kc,18004
1225,2020,10,2,,10,15,NA,NA,dry,NA,,ap,18004
1226,2020,10,2,,11,48,NA,NA,wet,NA,,ap,18004
1227,2020,10,2,,13,40,NA,NA,wet,NA,,ap,18004
1228,2020,10,2,,15,2,NA,NA,wet,NA,,ap,18004
1229,2020,10,2,,10,57,11,46,nap,NA,,ap,18004
1230,2020,1,21,,8,20,NA,NA,wet,NA,,ap,18004
1231,2020,1,21,,10,15,NA,NA,dry,NA,,ap,18004
1232,2020,1,21,,12,25,NA,NA,wet,NA,,kc,18004
1233,2020,1,21,,14,20,NA,NA,wet,NA,,ap,18004
1234,2020,1,21,,8,25,NA,NA,water,NA,,ap,18004
1235,2020,1,21,,9,40,NA,NA,water,NA,,ap,18004
1236,2020,1,21,,10,50,NA,NA,water,NA,,ap,18004
1237,2020,1,21,,13,0,NA,NA,bottle,1,oz,ap,18004
