Condition Difference,PPSR
0.217627517,3
0.272447544,5
-0.037882824,2
-0.14081837,2
-0.056542594,4
-0.139272209,3
0.043086873,3
-0.040260325,2
-0.098334655,3
0.077326078,3
0.057521277,3
-0.119926919,1
-0.112447491,3
-0.012423054,3
-0.165991392,2
0.105569461,4
-0.022076612,3
0.021888633,3
0.01702605,3
-0.094817787,2
0.337960846,3
-0.157182418,2
0.203568389,3
0.208857105,2
-0.239428345,2
-0.000484324,3
0.330545346,3
-0.260295906,2
0.080160837,4
-0.076720121,1
0.1757547,4
0.17902177,3
-0.070933375,2
0.122903167,3
-0.065740572,5
0.191972715,4
-0.077321382,3
-0.196467671,2
-0.191666115,3
-0.134400816,2
0.172904274,3
0.107425047,3
0.092242621,3
-0.315716606,2
-0.184175722,2
0.273716296,3
-0.258976505,4
-0.045720214,3
-0.297242064,1
0.036479236,3
-0.22791645,2
0.206301088,2
0.019320477,3
-0.208763562,3
-0.260913233,3
-0.058139981,3
-0.097059519,1
